                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9529,                 2.3138,                 1.4751,                0.72662,                0.77529,                0.81538,                0.60086,                 0.8645,                 1.1448,                 1.5219,              0.0033188,              0.0033188,              0.0033188
                      1,                0.84098,                 1.3955,                 1.3524,                0.71852,                0.68283,                0.73168,                0.47509,                 1.1364,                 1.2263,                 1.8191,              0.0066455,              0.0066455,              0.0066455
                      2,                0.94113,                 1.4245,                 1.4232,                0.58521,                0.59406,                0.61935,                0.36251,                 1.2744,                 1.5294,                 1.9787,              0.0099657,              0.0099657,              0.0099657
                      3,                 1.0668,                 1.5726,                 1.5086,                0.51204,                0.56161,                0.57504,                0.33257,                 1.3255,                 1.5947,                 2.0009,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.0542,                 1.5658,                 1.4971,                0.58181,                0.69071,                0.67929,                0.40825,                 1.2364,                 1.4335,                 1.9764,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0463,                 1.5316,                 1.4965,                0.57976,                0.69769,                0.69934,                0.43062,                 1.2837,                 1.3516,                 2.0365,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.0192,                 1.4671,                 1.4755,                 0.6559,                0.74897,                0.75334,                0.49242,                 1.0757,                 1.1687,                 1.7046,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.0056,                 1.3899,                 1.4457,                0.75577,                0.69819,                0.78516,                0.52735,                 1.0309,                 1.2374,                  1.665,              0.0099406,              0.0099406,              0.0099406
                      8,                0.97649,                 1.3747,                 1.4312,                0.74383,                0.72146,                0.80481,                0.54559,                 1.0424,                 1.0848,                 1.6812,              0.0099307,              0.0099307,              0.0099307
                      9,                0.97049,                 1.3483,                 1.4255,                0.80492,                0.78818,                0.86926,                0.59884,                0.97673,                0.92351,                 1.6246,              0.0099208,              0.0099208,              0.0099208
                     10,                0.93354,                 1.2585,                 1.3993,                0.80102,                 0.7944,                0.86133,                0.58695,                 1.0001,                0.88752,                 1.6371,              0.0099109,              0.0099109,              0.0099109
                     11,                0.90903,                 1.2423,                 1.3916,                0.81129,                0.81626,                0.88124,                 0.6125,                 1.0231,                0.91258,                 1.6689,               0.009901,               0.009901,               0.009901
                     12,                0.91408,                 1.2016,                 1.3862,                0.78087,                0.80296,                0.86155,                0.60151,                 0.9793,                  0.872,                 1.6285,              0.0098911,              0.0098911,              0.0098911
                     13,                0.89727,                 1.1858,                 1.3706,                0.87923,                0.81857,                0.89866,                0.61922,                0.95118,                  0.853,                 1.5702,              0.0098812,              0.0098812,              0.0098812
                     14,                0.88143,                 1.1896,                  1.357,                0.81787,                0.79008,                 0.8668,                0.63237,                0.88687,                0.86766,                 1.5329,              0.0098713,              0.0098713,              0.0098713
                     15,                0.86021,                 1.1226,                 1.3462,                0.82549,                0.83112,                0.88668,                0.65041,                0.90144,                0.79025,                  1.494,              0.0098614,              0.0098614,              0.0098614
                     16,                 0.8532,                 1.1188,                 1.3441,                0.86903,                0.82575,                0.90003,                0.64302,                0.91458,                0.80907,                 1.5321,              0.0098515,              0.0098515,              0.0098515
                     17,                0.83712,                 1.1004,                 1.3289,                0.88783,                0.87967,                0.92559,                0.67781,                0.90195,                0.70204,                  1.564,              0.0098416,              0.0098416,              0.0098416
                     18,                0.83076,                 1.0631,                 1.3266,                0.87953,                0.85068,                0.92572,                0.70318,                 0.8673,                0.64838,                 1.5016,              0.0098317,              0.0098317,              0.0098317
                     19,                0.82051,                 1.0632,                 1.3141,                0.85289,                 0.8599,                  0.919,                0.69243,                0.85323,                 0.7054,                 1.5082,              0.0098218,              0.0098218,              0.0098218
                     20,                0.80584,                 1.0033,                 1.3049,                0.88068,                0.86549,                0.92315,                0.67971,                0.88754,                0.69553,                 1.5108,              0.0098119,              0.0098119,              0.0098119
                     21,                0.79161,                0.98751,                 1.2928,                0.86888,                0.89337,                0.94818,                0.70643,                0.88872,                0.65999,                  1.532,               0.009802,               0.009802,               0.009802
                     22,                0.79891,                0.97861,                 1.2974,                0.92233,                0.86344,                 0.9359,                 0.7167,                 0.8413,                0.61483,                 1.4615,              0.0097921,              0.0097921,              0.0097921
                     23,                0.78994,                0.97902,                 1.2892,                0.88891,                 0.9004,                0.93949,                0.68656,                0.88918,                0.63778,                 1.5034,              0.0097822,              0.0097822,              0.0097822
                     24,                0.77906,                0.95726,                 1.2798,                0.84626,                0.89122,                0.92478,                0.70612,                0.84802,                0.66524,                 1.4855,              0.0097723,              0.0097723,              0.0097723
                     25,                0.76244,                0.94729,                 1.2698,                0.90526,                0.87961,                0.93725,                 0.7052,                0.80086,                0.61762,                 1.4169,              0.0097624,              0.0097624,              0.0097624
                     26,                0.76644,                  0.944,                 1.2731,                0.87215,                0.88907,                0.92456,                0.69083,                0.85413,                0.65503,                 1.4722,              0.0097525,              0.0097525,              0.0097525
                     27,                0.74896,                 0.9019,                 1.2598,                0.87276,                 0.9035,                0.93553,                0.72261,                 0.7649,                0.63407,                 1.3851,              0.0097426,              0.0097426,              0.0097426
