                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0624,                  4.422,                 4.2123,                0.00492,                0.01361,                0.00843,                0.00248,                 2.6904,                 4.0267,                 4.2552,              0.0033188,              0.0033188,              0.0033188
                      1,                 2.9124,                 4.2839,                 3.8832,                0.00236,                0.61467,                0.00414,                0.00114,                 2.9059,                 4.9237,                 3.8692,              0.0066455,              0.0066455,              0.0066455
                      2,                 2.4266,                 3.8702,                 3.1334,                0.01519,                0.53221,                0.03025,                0.01039,                  2.243,                  3.496,                 3.2151,              0.0099657,              0.0099657,              0.0099657
                      3,                 1.9009,                 3.3552,                 2.5623,                0.06455,                0.19077,                0.06046,                0.02012,                 2.0349,                 3.6061,                 2.8271,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.6641,                 2.9643,                   2.28,                0.41522,                0.26232,                0.17142,                0.08344,                 1.6037,                 2.9357,                 2.3385,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.535,                 2.7307,                 2.1225,                0.39001,                0.42584,                0.26379,                0.13818,                 1.4918,                 2.4642,                  2.259,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.4646,                 2.6336,                 2.0482,                0.38645,                0.34752,                0.25022,                0.13552,                 1.3882,                 2.2572,                 2.0882,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.4127,                 2.5195,                 1.9907,                0.27396,                0.50799,                0.30463,                0.16156,                 1.3981,                 2.2647,                 2.1257,              0.0099406,              0.0099406,              0.0099406
                      8,                   1.38,                 2.4481,                 1.9403,                 0.4294,                0.46862,                0.36678,                0.20917,                  1.316,                 2.0256,                 1.9812,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3514,                 2.4014,                   1.91,                0.44923,                0.42025,                0.34247,                 0.1915,                  1.445,                 2.0764,                 2.0873,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.3249,                 2.3443,                 1.8634,                0.44094,                0.48591,                0.35729,                0.19855,                 1.3621,                 2.0448,                 2.0454,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2941,                 2.2841,                 1.8322,                0.50567,                0.47983,                0.41259,                0.22881,                 1.2836,                 1.9572,                 1.9658,               0.009901,               0.009901,               0.009901
                     12,                 1.2922,                 2.2408,                 1.8146,                0.37172,                 0.4428,                0.41279,                 0.2383,                 1.2814,                 1.9353,                 1.9698,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.2736,                 2.1962,                 1.7902,                0.39891,                0.54543,                0.42291,                0.23325,                 1.3425,                  1.806,                 1.9402,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.2582,                 2.1839,                 1.7738,                0.35026,                0.58316,                0.41629,                0.23938,                 1.2464,                 1.8379,                  1.887,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.2288,                 2.1185,                 1.7528,                0.40909,                0.59536,                0.49284,                0.30937,                  1.242,                 1.7168,                 1.8725,              0.0098614,              0.0098614,              0.0098614
                     16,                  1.237,                 2.1086,                 1.7442,                0.37575,                0.58623,                 0.4888,                0.29367,                  1.305,                  1.725,                 1.8875,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2116,                 2.0792,                 1.7355,                0.41656,                0.54085,                0.46353,                 0.2458,                 1.4182,                 1.7643,                 2.0359,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.2064,                 2.0378,                 1.7293,                0.50745,                0.56475,                0.53878,                  0.306,                 1.2627,                  1.675,                 1.8923,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.1934,                 2.0171,                 1.7052,                0.54259,                 0.6018,                0.55863,                 0.3334,                 1.2771,                 1.5438,                 1.9188,              0.0098218,              0.0098218,              0.0098218
